Sell Date,Code,Name,Theme,Buy Time,Buy Price,Sell Price,Loss Pct,Reason,Trading Value (100M KRW)
2026-07-09,123456,Test,Test Theme,09:35,1000,950,-5.00%,Test Loss,150
2026-07-09,114800,KODEX 인버스,,,1077.0,1053.0,-2.60%,손절 (-2%),0
2026-07-10,114800,KODEX 인버스,,,1043.0,1009.0,-3.63%,손절 (-2%),0
